region,period,time_range,end_use,value,unit,comment,source,source_detail
China,*,1950-1969,Res,39.41,year,,Cao19,Fig 3a
China,*,1970-1979,Res,37.05,year,,Cao19,Fig 3b
China,*,1980-1989,Res,25.29,year,,Cao19,Fig 3c
China,*,1990-1999,Res,26.6,year,,Cao19,Fig 3d
China,*,2000-2015,Res,33.83,year,,Cao19,Fig 4b
Japan,*,*,Res,34,year,,Deetman20,Table 3
Rest of South America,*,*,Res,60.5,year,,Deetman20,Table 3
Eastern Europe,*,*,Res,78,year,,Deetman20,Table 3
USA,*,*,Res,77,year,,Deetman20,Table 3
Western Europe,*,*,Res,63,year,,Deetman20,Table 3
Canada,*,*,Res,51,year,,Deetman20,Table 3
Mexico,*,*,56,77,year,,Deetman20,Table 3
Southeastern Asia,*,*,Res,50,year,,Deetman20,Table 3
Oceania,*,*,Res,83,year,,Deetman20,Table 3
Global Average,*,*,Res,60,year,,Deetman20,Table 3
USA,*,*,Res,80,year,,Kapur08,Table 1
USA,*,*,NonRes,80,year,,Kapur08,Table 1
USA,*,*,Civ,60,year,,Kapur08,Table 1
Europe,*,*,Res,75,year,Buildings disaggregated into Res and NonRes ,Cao17,"Supplement S5, Source 12"
Europe,*,*,NonRes,75,year,Buildings disaggregated into Res and NonRes ,Cao17,"Supplement S5, Source 12"
Europe,*,*,Civ,55,year,,Cao17,"Supplement S5, Source 12"
Japan,*,*,NonRes,37.8,year,,Cao17,"Supplement S4, Average"
Japan,*,*,Civ,36.3,year,,Cao17,"Supplement S4, Average"
China,*,*,Civ,30.3,year,,Cao17,"Supplement S4, Average"
China,*,*,Res,32.4,year,,Cao17,"Supplement S4, Average"
China,*,*,NonRes,32.5,year,,Cao17,"Supplement S4, Average"
USA,*,*,Res,77.5,year,,Cao17,"Supplement S4, Average"
USA,*,*,NonRes,77.5,year,,Cao17,"Supplement S4, Average"
USA,*,*,Civ,60,year,,Cao17,"Supplement S4, Average"
The Netherlands,*,*,Res,120,year,,Sandberg16,"Table 1"
The Netherlands,*,*,Res,105,year,,Cao17,"Supplement S4, Average"
UK,*,*,Res,175,year,,Sandberg16,"Table 1"
UK,*,*,Res,117.5,year,,Cao17,"Supplement S4, Average"
South Korea,*,*,Res,20.5,year,,Cao17,"Supplement S4, Average"
South Korea,*,*,NonRes,20.5,year,,Cao17,"Supplement S4, Average"
Germany,*,*,Res,125,year,,Sandberg16,"Table 1"
Germany,*,*,Res,117.3,year,,Cao17,"Supplement S4, Average"
Germany,*,*,NonRes,55,year,,Cao17,"Supplement S4, Average"
Germany,*,*,Civ,54,year,,Cao17,"Supplement S4, Average"
Chile,*,*,Res,60,year,,Cao17,"Supplement S4, Average"
Norway,*,*,Res,125,year,,Sandberg16,"Table 1"
Cyprus,*,*,Res,125,year,,Sandberg16,"Table 1"
Czech Republic,*,*,Res,120,year,,Sandberg16,"Table 1"
Czech Republic,*,*,Res,110,year,,Cao17,"Supplement S4, Average"
France,*,*,Res,125,year,,Sandberg16,"Table 1"
Greece,*,*,Res,70,year,,Sandberg16,"Table 1"
Hungary,*,*,Res,125,year,,Sandberg16,"Table 1"
Serbia,*,*,Res,100,year,,Sandberg16,"Table 1"
Slovenia,*,*,Res,120,year,,Sandberg16,"Table 1"
Switzerland,*,*,Res,80,year,,Cao17,"Supplement S4, Average"
Switzerland,*,*,NonRes,80,year,,Cao17,"Supplement S4, Average"
Europe (except EU25),*,*,Res,61.7,year,,Cao17,"Supplement S4, Average"
Europe (except EU25),*,*,NonRes,61.7,year,,Cao17,"Supplement S4, Average"
Europe (except EU25),*,*,Civ,57.5,year,,Cao17,"Supplement S4, Average"
The rest of EU25,*,*,Res,80,year,,Cao17,"Supplement S4, Average"
