end_use,time_range,variable,region,period,unit,value
Civ,1900-1949,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1900-1949,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1900-1949,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1900-1949,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1950-1969,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1950-1969,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1950-1969,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1970-1979,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1970-1979,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1970-1979,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,CIS,2025,a,60.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,China,2025,a,30.3
Civ,1980-1989,Buildings and Infrastructure Lifetime,Europe,2025,a,55.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,India,2025,a,31.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,Iran,2025,a,40.0
Civ,1980-1989,Buildings and Infrastructure Lifetime,Japan,2025,a,36.3
Civ,1980-1989,Buildings and Infrastructure Lifetime,USA,2025,a,60.0
Civ,1990-1999,Buildings and Infrastructure Lifetime,Africa,2025,a,60.0
